date,news
2021-11-09,Canadian small businesses boost wages and extend employee perks to fill talent gap
2021-11-03,"ADP: 571K New Private-Sector Jobs, Better than Expected"
2021-11-03,"ADP National Employment Report: Private Sector Employment Increased by 571,000 Jobs in October"
2021-11-03,"Calculating The Intrinsic Value Of Automatic Data Processing, Inc. (NASDAQ:ADP)"
2021-10-28,10 Stocks That Beat Profit Expectations
2021-10-27,"U.S. Wage Growth Increased by 3.3 Percent, Aligned with Pre-Pandemic Growth, While Wages for U.S. Job Switchers Increased 6.6 Percent Since September 2020 to Meet Demand for Workers"
2021-10-27,Automatic Data Processing (ADP) Q1 Earnings and Revenues Beat Estimates
2021-10-27,"October 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, November 3, 2021"
2021-10-27,ADP Reports First Quarter Fiscal 2022 Results
2021-10-25,What Awaits Automatic Data Processing (ADP) in Q1 Earnings?
2021-10-21,"ADP Canada National Employment Report: Employment in Canada Increased by 9,600 Jobs in September 2021"
2021-10-20,Bitcoin Futures ETF is a ‘key milestone’: CFRA Head of ETF & Mutual Fund Research
2021-10-20,Automatic Data Processing (ADP) Earnings Expected to Grow: Should You Buy?
2021-10-20,S&P 500 Shake-Up Opens Path to Shrinking Tech’s 28% Dominance
2021-10-15,ADP to Host 2021 Investor Day
2021-10-14,"Media Alert: September 2021 ADP Canada National Employment Report to be released on Thursday, October 21, 2021"
2021-10-12,"Here is What Hedge Funds Think About Automatic Data Processing, Inc. (ADP)"
2021-10-07,"ADP Canada Receives ""2021 Best Places to Work"" Designation from Canadian HR Reporter Magazine"
2021-10-06,"Private payrolls rise by 568,000 in September: ADP"
2021-10-06,"ADP National Employment Report: Private Sector Employment Increased by 568,000 Jobs in September"
2021-10-04,Investors in Automatic Data Processing (NASDAQ:ADP) have made a impressive return of 157% over the past five years
2021-10-01,ADP Stock Strength Rating Climbs After Share Price Popped About 70% Over Past Year
2021-09-30,"As Businesses Struggle to Attract Workers, ADP Research Institute Study Pinpoints Human Resources' Impact on a Company's Talent Brand with New Metric to Measure HR Performance"
2021-09-30,10 Dividend Growth Stocks to Buy
2021-09-29,"September 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, October 6, 2021"
2021-09-28,AnitaB.org Names ADP the 2021 Top Large Company for Women Technologists
2021-09-28,"ADP Named One of the ""100 Best Companies"" for Working Mothers"
2021-09-21,"ADP DataCloud Introduces First-of-its-Kind Diversity, Equity, and Inclusion Benchmarks to Help Companies Assess and Act on Gaps"
2021-09-16,"ADP Canada National Employment Report: Employment in Canada Increased by 39,400 Jobs in August 2021"
2021-09-15,Everest Group Names ADP a Leader in RPO Peak Matrix 2021 Assessment
2021-09-15,Tipping Scales: Work-Life Balance Outweighs Salary as Top Perk for Canadian Workers
2021-09-14,Intuit CEO on buying Mailchimp: 'We want to put our capital to great use'
2021-09-14,ADP Reimagines RUN Powered by ADP® to Help Small Businesses Accelerate Growth
2021-09-13,ADP Bolsters Return to Workplace Mobile Solution with COVID-19 Test Result Tracking
2021-09-09,"Media Alert: August 2021 ADP Canada National Employment Report to be released on Thursday, September 16, 2021"
2021-09-08,"ADP Named a Leader in IDC MarketScapes for Worldwide Integrated Talent Management, Learning, Performance and Compensation"
2021-09-04,"Automatic Data Processing, Inc. (NASDAQ:ADP) Is About To Go Ex-Dividend, And It Pays A 1.8% Yield"
2021-09-01,Private-Sector Payrolls Lower-than-Expected
2021-09-01,"ADP National Employment Report: Private Sector Employment Increased by 374,000 Jobs in August"
2021-08-27,ADP (ADP) Down 0.8% Since Last Earnings Report: Can It Rebound?
2021-08-25,"August 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, September 1, 2021"
2021-08-25,It's Official: Post-Pandemic Work Schedules Will Be Flexible
2021-08-19,"ADP Canada National Employment Report: Employment in Canada Increased by 221,300 Jobs in July 2021"
2021-08-19,Should You Be Adding Automatic Data Processing (NASDAQ:ADP) To Your Watchlist Today?
2021-08-12,Return to Office vs. Working Remotely: ADP Research Institute® Study Reveals Employee Perspectives on Work Location as Employers Evaluate Workforce Plans
2021-08-12,"Media Alert: July 2021 ADP Canada National Employment Report to be released on Thursday, August 19, 2021"
2021-08-11,ADP Named to the 2021 Seramount Inclusion Index
2021-08-04,ADP Declares Regular Quarterly Dividend
2021-08-04,"Private payrolls in July rose by 330,000, short of estimates: ADP"
2021-08-04,Weak Private Payrolls Data Pulls Futures Lower
2021-08-04,"Futures Drop Amid Weak Private Payrolls, Q2 Earnings Solid"
2021-08-04,"ADP National Employment Report: Private Sector Employment Increased by 330,000 Jobs in July"
2021-07-29,Are You Looking for a Top Momentum Pick? Why Automatic Data Processing (ADP) is a Great Choice
2021-07-28,Wage Growth Among U.S. Job Switchers Increased 5.8 Percent Since June 2020 as Businesses Struggle to Attract Workers
2021-07-28,Automatic Data Processing (ADP) Q4 Earnings and Revenues Beat Estimates
2021-07-28,"July 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, August 4, 2021"
2021-07-28,ADP Reports Fourth Quarter Fiscal 2021 Results
2021-07-26,What Awaits Automatic Data Processing (ADP) in Q4 Earnings?
2021-07-21,Analysts Estimate Automatic Data Processing (ADP) to Report a Decline in Earnings: What to Look Out for
2021-07-20,"Automatic Data Processing, Inc.'s (NASDAQ:ADP) Stock Been Rising: Are Strong Financials Guiding The Market?"
2021-07-15,"ADP Canada National Employment Report: Employment in Canada Decreased by 294,200 Jobs in June 2021"
2021-07-13,"Over 100,000 Businesses Rely on ADP Workforce Management Solutions as Changing Environment Creates Accelerated Need for Time, Attendance and Scheduling Tools"
2021-07-13,Disability:IN Recognizes ADP as a Best Place to Work for Disability Inclusion
2021-07-08,"Media Alert: June 2021 ADP Canada National Employment Report to be released on Thursday, July 15, 2021"
2021-07-07,10 Best Dividend Stocks to Buy According to ‘English Warren Buffett’ Terry Smith
2021-06-30,ADP Named One of the Best Companies for Multicultural Women by Seramount
2021-06-30,"ADP National Employment Report: Private Sector Employment Increased by 692,000 Jobs in June"
2021-06-29,"The Zacks Analyst Blog Highlights: Microsoft, Nike, BlackRock, Costco Wholesale and Automatic Data Processing"
2021-06-23,Where Do Hedge Funds Stand On Automatic Data Processing (ADP)?
2021-06-23,"June 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, June 30, 2021"
2021-06-17,"ADP Canada National Employment Report: Employment in Canada Increased by 101,600 Jobs in May 2021"
2021-06-17,"Bank, Airline Sites Go Dark Briefly in Broad Internet Outage"
2021-06-16,"ADP to Announce Fourth Quarter Fiscal 2021 Financial Results on July 28, 2021"
2021-06-10,"ADP Recognized as a Customers' Choice in 2021 Gartner Peer Insights 'Voice of the Customer': Cloud HCM Suites for 1,000+ Employee Enterprises"
2021-06-09,Companies look to expand access to emergency savings solutions
2021-06-09,Gen Z Remote Workers Most Excited to Return to the Office - ADP Survey
2021-06-05,Interested In Automatic Data Processing's (NASDAQ:ADP) Upcoming US$0.93 Dividend? You Have Four Days Left
2021-06-03,"ADP National Employment Report: Private Sector Employment Increased by 978,000 Jobs in May"
2021-05-28,Why Is ADP (ADP) Up 4.7% Since Last Earnings Report?
2021-05-26,"May 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Thursday, June 3, 2021"
2021-05-26,"Automatic Data Processing, Inc.'s (NASDAQ:ADP) Intrinsic Value Is Potentially 25% Below Its Share Price"
2021-05-20,"ADP Canada National Employment Report: Employment in Canada Increased by 351,300 Jobs in April 2021"
2021-05-12,"Working Canadians are Paying a ""COVID Tax"", with Some Reporting Working More than Ever Before"
2021-05-11,ADP Announces Pricing of its Senior Notes Due 2028
2021-05-10,Were Hedge Funds Right About Automatic Data Processing (ADP)?
2021-05-07,UPDATE 1-Benefitfocus new CEO Levin sued by former employer ADP
2021-05-06,Benefitfocus' new CEO sued by ADP for stealing trade secrets
2021-05-05,Treasury yields tilt lower as bond market remains unmoved by U.S. economic data
2021-05-05,10-year Treasury yield edges higher while U.S. private-sector payrolls fall short of expectations
2021-05-05,"ADP National Employment Report: Private Sector Employment Increased by 742,000 Jobs in April"
2021-05-04,Aéroports de Paris SA - Information regarding the voting rights and shares as of 30 April 2021
2021-05-04,Benefitfocus Appoints Proven Industry Leader Matthew Levin as New CEO to Further Advance Growth Strategy
2021-05-03,"The Zacks Analyst Blog Highlights: Apple, Google, BlackRock, Automatic Data Processing and Ford Motor"
2021-04-29,"Market Update: AAPL, ADP, AEP, BA, MGM, QCOM, MA, MDLZ"
2021-04-29,Analyst Report: Automatic Data Processing Inc.
2021-04-29,Automatic Data Processing Inc (ADP) Q3 2021 Earnings Call Transcript
2021-04-28,One Year into the Pandemic: ADP Research Institute® Uncovers How Working Conditions and Attitudes Have Changed in Global Study
2021-04-28,U.S. Job Switching Rate Declines by 2.0 Percentage Points Since March 2020; Wages Grew 5.9 Percent Due to Low Wage Job Loss
2021-04-28,Automatic Data Processing (ADP) Q3 Earnings and Revenues Top Estimates
2021-04-28,"April 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, May 5, 2021"
2021-04-28,ADP Reports Third Quarter Fiscal 2021 Results
2021-04-26,What Awaits Automatic Data Processing (ADP) in Q3 Earnings?
2021-04-23,Intel has 'some challenging times ahead' amid chip shortage: analyst
2021-04-22,ADP® Recognizes Leading Companies for Transforming the World of Work at 28th Annual ADP Meeting of the Minds Conference
2021-04-22,New ADP Workforce Now Enhancements Keep the Spotlight on Companies' Most Important Asset: People
2021-04-20,Automatic Data Processing (NASDAQ:ADP) Has Gifted Shareholders With A Fantastic 140% Total Return On Their Investment
2021-04-15,"ADP Canada National Employment Report: Employment in Canada Increased by 634,800 Jobs in March 2021"
2021-04-13,"New ADP DataCloud Capabilities Help Businesses Understand Diversity, Staffing and Compensation"
2021-04-07,ADP Declares Regular Quarterly Dividend
2021-04-06,NelsonHall Names ADP a Leader in Payroll Services NEAT for 7th Year
2021-04-02,Look out for ‘permanent scarring’ in the labor market: ADP chief economist
2021-04-02,March jobs report shows ‘the best is yet to come’: economist
2021-04-02,"U.S. adds 916K jobs in March, unemployment rate at 6%"
2021-03-31,The housing market is a ‘great space to be in’: Strategist
2021-03-31,ADP: U.S. firms added 517K jobs in March vs. 550K estimated
2021-03-31,"ADP National Employment Report: Private Sector Employment Increased by 517,000 Jobs in March"
2021-03-25,"The Zacks Analyst Blog Highlights: Exxon Mobil, Thermo Fisher Scientific, Costco, Applied Materials and Automatic Data Processing"
2021-03-24,"ADP® DataCloud Named ""Data Analytics Innovation of the Year"" in 2021 Data Breakthrough Awards"
2021-03-24,"March 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, March 31, 2021"
2021-03-22,Is ADP Stock A Buy or Sell?
2021-03-18,"ADP Canada National Employment Report: Employment in Canada Decreased by 100,800 Jobs in February 2021"
2021-03-17,"Automatic Data Processing, Inc. -- Moody's announces completion of a periodic review of ratings of Automatic Data Processing, Inc."
2021-03-17,10 Best Industrial Dividend Stocks For 2021
2021-03-17,Venterra Realty Properties Ranked Top Rated In 2020 by ApartmentRatings.com
2021-03-16,Chargebee Pledges a $5B Fund for Startups - Offers its subscription platform completely free for upto $100K.
2021-03-16,"ADP to Announce Third Quarter Fiscal 2021 Financial Results on April 28, 2021"
2021-03-11,"Media Alert: February 2021 ADP Canada National Employment Report to be released on Thursday, March 18, 2021"
2021-03-09,ABUSE FREE SPORT: Link to listen to testimonials from Canadian athletes from Canada Artistic Swimming
2021-03-06,Only Four Days Left To Cash In On Automatic Data Processing's (NASDAQ:ADP) Dividend
2021-03-04,Jobless Claims Bump Up Week Over Week: 745K
2021-03-03,Markets pointing to commodity sector for investors
2021-03-03,Private-Sector Payrolls Rise Lower Than Expected
2021-03-03,"Sleep Number, Churchill Downs and Automatic Data Processing highlighted as Zacks Bull and Bear of the Day"
2021-03-03,"U.S. firms added 117k jobs in February, ADP reports"
2021-03-03,"ADP National Employment Report: Private Sector Employment Increased by 117,000 Jobs in February"
2021-03-02,"170 students awarded $900,000 in scholarships by the Horatio Alger Association of Canada"
2021-03-01,Markets Await Economic Data
2021-02-26,Why Is ADP (ADP) Up 5.3% Since Last Earnings Report?
2021-02-26,TTEC Holdings (TTEC) to Report Q4 Earnings: What to Expect?
2021-02-25,"ADP Launches 'Roll™ by ADP®' Mobile App, a Completely Reimagined Way for Small Businesses to Do Payroll"
2021-02-24,"February 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, March 3, 2021"
2021-02-23,ADP Named a Leader in Everest Group's Multi-Process Human Resources Outsourcing Assessment for 10 Consecutive Years
2021-02-19,Staffing Stocks Gain Despite Uptick in Jobless Claims
2021-02-18,"Visa, ADP Partner To Unveil New Direct Deposit Option Via Debit Card"
2021-02-18,"ADP Canada National Employment Report: Employment in Canada Decreased by 231,200 Jobs in January 2021"
2021-02-18,Visa and ADP Unveil Flexible Digital Payment Options to Serve U.S. Workforce
2021-02-17,Globalization Partners and ADP TotalSource® Come Together to Make Employee Compliance Turnkey for Small and Midsized Businesses Expanding Globally
2021-02-16,StandOut® Powered by ADP® Introduces StandOut Coaching Intelligence to Encourage Team Connection and Engagement
2021-02-11,"Mizuho Says ADP Ready To Grow, Sets Price Target At $210"
2021-02-11,Weekly Jobless Claims Decline Sequentially
2021-02-11,Eupraxia Pharmaceuticals Inc. Announces Filing of Preliminary Prospectus for Proposed Initial Public Offering
2021-02-11,"Media Alert: January 2021 ADP Canada National Employment Report to be released on Thursday, February 18, 2021"
2021-02-10,"This Hedge Fund Sells Automatic Data Processing (ADP) Amid Strong Competition, COVID-19 Impact"
2021-02-05,Jobs report shows there are still ‘some pains’ in the job market: ADP chief economist
2021-02-04,ManpowerGroup (MAN) Stock Up 2.9% On Q4 Earnings Beat
2021-02-03,ADP Honored by Junior Achievement with a U.S. President's Volunteer Service Award
2021-02-03,Private Sector Jobs Data Better Than Expected
2021-02-03,ADP Posts Upside Surprise in Jobs: 174K for January
2021-02-03,"ADP National Employment Report: Private Sector Employment Increased by 174,000 Jobs in January"
2021-02-01,G vs. ADP: Which Stock Is the Better Value Option?
2021-02-01,"ADP Named Among FORTUNE Magazine's ""World's Most Admired Companies"" for 15th Straight Year"
2021-01-28,ADP Achieves its 12th Perfect Score in Workplace Equality
2021-01-28,Award-Winning ADP Next Gen Payroll Platform Expands to Canada and Mexico
2021-01-27,Automatic Data Processing Inc (ADP) Q2 2021 Earnings Call Transcript
2021-01-27,When to Give Up on a Stock
2021-01-27,Price Over Earnings Overview: Automatic Data Processing
2021-01-27,U.S. Wages Grew 4.4 Percent in Fourth Quarter 2020 Due to Low Wage Job Loss as COVID-19 Continues to Disrupt Labor Market
2021-01-27,Automatic Data Processing (ADP) Q2 Earnings and Revenues Surpass Estimates
2021-01-27,"January 2021 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on Wednesday, February 3, 2021"
2021-01-27,Automatic Data Processing's Debt Overview
2021-01-27,ADP Reports Second Quarter Fiscal 2021 Results
2021-01-26,Earnings Outlook for Automatic Data Processing
2021-01-26,"Are Robust Financials Driving The Recent Rally In Automatic Data Processing, Inc.'s (NASDAQ:ADP) Stock?"
2021-01-25,What Awaits Automatic Data Processing (ADP) in Q2 Earnings?
2021-01-23,"BMC Acquisition, Inc. -- Moody's affirms BenefitMall B2 CFR; revises outlook to negative"
2021-01-22,7 Dividend Aristocrats That Will Outlive Us All
2021-01-21,"ADP Canada National Employment Report: Employment in Canada Decreased by 28,800 Jobs in December 2020"
2021-01-14,SYKE or ADP: Which Is the Better Value Stock Right Now?
2021-01-14,"Media Alert: December 2020 ADP Canada National Employment Report to be released on Thursday, January 21, 2021"
2021-01-13,ADP Declares Regular Quarterly Dividend
2021-01-13,What Does Automatic Data Processing's Debt Look Like?
2021-01-06,"ADP National Employment Report: Private Sector Employment Decreased by 123,000 Jobs in December"
2021-01-05,"The Zacks Analyst Blog Highlights: Microsoft, Procter & Gamble, QUALCOMM, T-Mobile US and Automatic Data Processing"
2020-12-31,"Are Institutions Heavily Invested In Automatic Data Processing, Inc.'s (NASDAQ:ADP) Shares?"
2020-12-30,"December 2020 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on January 6, 2021"
2020-12-18,"Invitation to media - Élisabeth Brière, Parliamentary Secretary to Minister Mélanie Joly, to announce Government of Canada support for Yourbarfactory"
2020-12-17,Automatic Data Processing (ADP) Could Hit All-Time High
2020-12-17,"ADP Canada National Employment Report: Employment in Canada Increased by 40,800 Jobs in November 2020"
2020-12-16,It’s Heads Down for the Holidays: Half of Working Canadians Taking Less or No Vacation Time this Holiday Season
2020-12-16,"ADP DataCloud Adds New AI Features to Target Pay Equity Gaps, Bolster Employee Retention"
2020-12-15,Is Automatic Data Processing (ADP) Stock Outpacing Its Business Services Peers This Year?
2020-12-15,"ADP to Announce Second Quarter Fiscal 2021 Financial Results on January 27, 2021"
2020-12-14,Is ADP A Good Stock To Buy Now?
2020-12-11,SYKE vs. ADP: Which Stock Should Value Investors Buy Now?
2020-12-10,"Media Alert: November 2020 ADP Canada National Employment Report to be released on Thursday, December 17, 2020"
2020-12-08,Automatic Data Processing: Debt Overview
2020-12-06,Statement by the Prime Minister on the death of the Honourable Ronald A. Irwin
2020-12-04,Economic Data Deluge
2020-12-03,NelsonHall Recognizes ADP as a Leader in the Efficiency Focused NEAT Graph for Cloud-Based HR Transformation Services 2020 Evaluation
2020-12-03,"Initial, Continuing Claims Drop; PUA Soon to Expire"
2020-12-02,"ADP Reports 307K New Jobs, Revisions Up"
2020-12-02,"ADP National Employment Report: Private Sector Employment Increased by 307,000 Jobs in November"
2020-12-02,Media advisory - Aéro Montréal presents the Aerospace Innovation Forum 2020
2020-12-01,"The Zacks Analyst Blog Highlights: Amazon, Google, Zoom Video, Automatic Data Processing and Moderna"
2020-11-30,"Top Research Reports for Amazon, Alphabet & Zoom Video"
2020-11-29,Our View On Automatic Data Processing's (NASDAQ:ADP) CEO Pay
2020-11-27,Is Automatic Data Processing (ADP) Stock Outpacing Its Business Services Peers This Year?
2020-11-26,Sun Life Chosen by Canadian Public as Canada's Most Respected Life Insurance Company
2020-11-25,SYKE vs. ADP: Which Stock Is the Better Value Option?
2020-11-25,New ADP Survey Shows Canadians Believe Workplaces Have Work to Do on Diversity and Inclusion
2020-11-25,"November 2020 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on December 2, 2020"
2020-11-21,Covid-19 is forcing businesses to finally modernize their HR and financial systems
2020-11-19,"People-Centered Initiatives, Business Agility Take Center Stage in 2021 Workforce Trends"
2020-11-19,"ADP Canada National Employment Report: Employment in Canada Decreased by -79,500 Jobs in October 2020"
2020-11-12,"Media Alert: October 2020 ADP Canada National Employment Report to be released on Thursday, November 19, 2020"
2020-11-11,Should You Be Tempted To ‘Sell’ Automatic Data Processing (ADP) Stock
2020-11-11,Is Automatic Data Processing (ADP) Outperforming Other Business Services Stocks This Year?
2020-11-11,ADP raises quarterly cash dividend to 93 cents a share vs. 91 cents
2020-11-11,ADP Increases Cash Dividend; Marks 46th Consecutive Year of Dividend Increases
2020-11-10,Everest Group Names ADP a Leader in 2020 Multi-Country Payroll Solutions PEAK Matrix Assessment
2020-11-09,SYKE vs. ADP: Which Stock Is the Better Value Option?
2020-11-06,"The Zacks Analyst Blog Highlights: Apple, Amazon, T-Mobile US, UnitedHealth Group and Automatic Data Processing"
2020-11-05,6 S&P 500 Dividend Payers With Safe Yields Above 2%
2020-11-05,ADP Partners with ZipRecruiter to Help Businesses Improve Recruiting Efficiency
2020-11-04,"ADP National Employment Report: Private Sector Employment Increased by 365,000 Jobs in October"
2020-11-04,Analyst Report: Automatic Data Processing Inc.
2020-11-04,"Market Update: ADP, BAX, DTE, MO, SWKS, VSH, KKR, KHC, DD"
2020-10-31,Automatic Data Processing Stock Looks Like a Winner
2020-10-30,"Automatic Data Processing, Inc. Just Beat EPS By 46%: Here's What Analysts Think Will Happen Next"
2020-10-29,"Was The Smart Money Wrong About Automatic Data Processing, Inc. (ADP)?"
2020-10-28,Automatic Data Processing Inc (ADP) Q1 2021 Earnings Call Transcript
2020-10-28,"Analyst Report: Automatic Data Processing, Inc."
2020-10-28,Automatic Data Processing (ADP) Q1 Earnings & Revenues Beat
2020-10-28,Automatic Data Processing (ADP) Q1 Earnings and Revenues Top Estimates
2020-10-28,"October 2020 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on November 4, 2020"
2020-10-28,ADP Reports First Quarter Fiscal 2021 Results
2020-10-27,"Business Services Oct 28 Earnings Roster: V, MA, and More"
2020-10-27,"Automatic Data Processing, Inc. (NASDAQ:ADP) Shares Could Be 22% Above Their Intrinsic Value Estimate"
2020-10-26,What Awaits Automatic Data Processing (ADP) in Q1 Earnings?
2020-10-23,"Notice to the media - COVID-19 Update (October 23, 2020) - The Prime Minister, Ministers and Government of Canada officials to hold a news conference on coronavirus disease"
2020-10-22,Why Automatic Data Processing (ADP) Stock is a Compelling Investment Case
2020-10-22,ADP Celebrates Key Partners and Continued Momentum at Its 3rd Annual ADP Marketplace Partner Summit
2020-10-21,Analysts Estimate Automatic Data Processing (ADP) to Report a Decline in Earnings: What to Look Out for
2020-10-15,ADP Earns 2020 Tech Cares Award from TrustRadius for Unwavering Service and Support amid Global Health Event
2020-10-15,"ADP Canada National Employment Report: Employment in Canada Decreased by 240,800 Jobs in September 2020"
2020-10-08,"TECL, ADI, ADP, AKAM: Large Outflows Detected at ETF"
2020-10-08,"Media Alert: September 2020 ADP Canada National Employment Report to be released on Thursday, October 15, 2020"
2020-10-08,Air Canada Completes Aircraft Sale and Leaseback Transactions
2020-10-07,6 Tech Stocks With Higher Dividend Yields Than the S&P 500
2020-10-06,"ADP's Next Gen Payroll Platform Named a ""2020 Top HR Product"" by Human Resource Executive"
2020-10-01,Can You Imagine How Automatic Data Processing's (NASDAQ:ADP) Shareholders Feel About The 67% Share Price Increase?
2020-10-01,A Payday From Workday?
2020-09-30,"ADP National Employment Report: Private Sector Employment Increased by 749,000 Jobs in September"
2020-09-29,AnitaB.org Names ADP the Top Large Company for Women Technologists
2020-09-29,"Working Mother Names ADP as One of the 2020 ""100 Best Companies"""
2020-09-25,SYKE or ADP: Which Is the Better Value Stock Right Now?
2020-09-25,"ADP to Announce First Quarter Fiscal 2021 Financial Results on October 28, 2020"
2020-09-23,"Analyst Report: Automatic Data Processing, Inc."
2020-09-23,Constellation Research Named ADP in Four Constellation ShortLists for Innovation in Human Capital Management
2020-09-23,"September 2020 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on September 30, 2020"
2020-09-21,"BUZZ-U.S. STOCKS ON THE MOVE-Ichor Holdings Ltd, Roku Inc, Beyond Meat Inc, Universal Health Services Inc"
2020-09-21,"BUZZ-U.S. STOCKS ON THE MOVE-Tapestry Inc, Cubic Corp, Adicet Bio Inc, HCA Healthcare Inc"
2020-09-21,"BUZZ-U.S. STOCKS ON THE MOVE-Snowflake Inc, Legend Biotech Corp, Illumina Inc, Crexendo Inc"
2020-09-21,"BUZZ-U.S. STOCKS ON THE MOVE-Oracle Corp, The9 Ltd, JPMorgan Chase & Co, Bank of New York Mellon Corp"
2020-09-21,Paychex Stock Peaked At $80?
2020-09-18,These 3 Dividend Aristocrats Will Shield You From Another Market Crash
2020-09-17,6 Dividend Stocks To Buy For Stable Yield And Growth Potential
2020-09-17,"ADP Canada National Employment Report: Employment in Canada Decreased by 205,400 Jobs in August 2020"
2020-09-15,ADP® DataCloud Wins 2020 Artificial Intelligence (AI) Breakthrough Award
2020-09-14,ADP Nominates Linnie M. Haynesworth to Board of Directors
2020-09-09,SYKE or ADP: Which Is the Better Value Stock Right Now?
2020-09-09,ATCO Delivers Spruce Meadows Surprise to Doorstep of Deserving Families
2020-09-05,"Automatic Data Processing, Inc. (NASDAQ:ADP) Stock Goes Ex-Dividend In Just Four Days"
2020-09-04,"Up Almost 4x Since Early 2018, Paycom Software Stock To Drop Sharply?"
2020-09-03,"Automatic Data Processing (ADP) Has Fallen 19% in Last One Year, Underperforms Market"
2020-09-03,5 Dividend Aristocrats Where Analysts See Capital Gains
2020-09-02,"ADP National Employment Report: Private Sector Employment Increased by 428,000 Jobs in August"
2020-09-02,Do Automatic Data Processing's (NASDAQ:ADP) Earnings Warrant Your Attention?
2020-09-02,"Up 16% This Year, Accenture Stock Headed Back Down?"
2020-09-01,"Hedge Funds Are Buying Automatic Data Processing, Inc. (ADP)"
2020-08-27,Bonds Are Safer Than They Look
2020-08-26,"TECL, ACN, ADP, AKAM: ETF Outflow Alert"
2020-08-26,"August 2020 ADP National Employment Report®, ADP Small Business Report® and ADP National Franchise Report® to be Released on September 2, 2020"
2020-08-24,SYKE or ADP: Which Is the Better Value Stock Right Now?
